company_name,website,description,source,last_round
Trachte,https://www.trachteusa.com,Trachte is a leading provider and fabricator of easy-deployment application-engineered protection and control buildings serving a broad customer base of utilities and channel partners.,EIP,Seed
Urbint,https://www.urbint.com,Urbint solves complex infrastructure issues for utilities by applying artificial intelligence to service territory data.,EIP,Seed
Viriciti,https://techcrunch.com/2021/08/11/chargepoint-acquires-amsterdam-based-electric-fleet-manager-viriciti/,"Viriciti provides the leading monitoring solution that optimizes the operation and performance of electric bus and truck fleets. Their cloud-based telematics platform enables transportation operators to gain critical real-time visibility into their fleet, drive more electric miles, reduce operational costs, understand driver behavior, and predict and respond to issues and outages. They also provide solutions for mixed electric and diesel fleets, as well as smart charging and charge station monitoring.",EIP,Seed
Voltacharging,https://voltacharging.com,"Volta was founded in 2010 out of a passion for transforming transportation. Volta partners with visionary brands to create an iconic charging network that inspires people to drive electric. And, it’s free. With a decade of insightful experience, Volta has refined the art and science of developing demand-driven electric vehicle charging networks.",EIP,Seed
Unknown,http://,Williams was founded in 1958 and is a leading contractor for mission-critical construction and maintenance services to the power generation industry. Williams helps customers stay competitive and efficient as they reach peak operational performance through optimized services and unmatched expertise.,EIP,Seed
Spoor,https://www.spoor.ai/,"Spoor leverages AI & computer-vision technology to deliver the world’s lowest cost, highest accuracy solution for bird & bat monitoring.",SET,Seed
Instagrid,https://instagrid.co/,Instagrid develops the world’s most advanced portable clean power supplies for professionals with challenging energy demands.,SET,Seed
Optics11,https://optics11.com/,Optics11 develops advanced fiber optic sensing technology that enhances the reliability and security of critical energy infrastructure.,SET,Seed
Green Eagle Solutions,https://www.greeneaglesolutions.com/,"Learn about Green Eagle Solutions - automating renewable energy with AI to boost efficiency, cut CO2 emissions and operational costs.",SET,Seed
Tibo Energy,https://tibo.energy/,"Tibo Energy empowers commercial and industrial businesses to electrify seamlessly via it's AI-driven EMS, avoiding costly grid expansion.",SET,Seed
Frequenz,https://www.frequenz.com/,"Frequenz optimises your energy supply with on-site AI control & energy market access, lowering costs & CO2 emissions for Frequenz customers.",SET,Seed
Enrise,https://www.enrise.fr/,Enrise provides a turnkey solar solution that enables C&I customers to solarise their unused commercial space easily and without investment.,SET,Seed
Galvany,https://galvany.de/,"Galvany offers a complete end-to-end solution for heat pump systems. With Galvany, users get a sustainable heating solution in just 30 days.",SET,Seed
Flexidao,https://www.flexidao.com/,"Flexidao provides energy, sustainability and risk teams with tools to streamline, reduce compliance risk and simplify clean energy reporting.",SET,Seed
Fuchs & Eule,https://fuchs-eule.de/,Fuchs & Eule offers asset managers an all-in-one solution to create efficient sustainable renovation projects,SET,Seed
Hydrogrid,https://hydrogrid.ai/,Hydrogrid provides software solutions for real-time control of hydro plants. Enabling operators to reduce spill by 12% & earn higher revenues.,SET,Seed
Etpa,https://www.etpa.nl/,Etpa is an improved European Power Exchange for short-term electricity trading. Allowing companies of all sizes to access trading revenues.,SET,Seed
Esforin,https://www.esforin.com/,ESFORIN is the leading provider of digital flexibility marketing in the energy sector though it's automated trading infrastructure.,SET,Seed
Easelink,https://easelink.com/,"Easelink has developed the lowest cost, most efficient automated EV charging system that offers transmission efficiency of over 99%.",SET,Seed
Vilisto,https://www.vilisto.de/en/,vilisto offers plug-and-play digital heat management for seamless energy efficiency in public and office buildings.,SET,Seed
E-Mobilio,https://e-mobilio.com/,"With e-mobilio’s e-purchase advisor, EV buyers can tailor information and the right offering to their specific circumstances.",SET,Seed
Evinox,https://www.evinoxenergy.co.uk/,Evinox pioneered remotely connected heat interface units and provides equipment and services for energy-efficient heat networks.,SET,Seed
Sensorfact,https://www.sensorfact.eu/,"Sensorfact provides an all-in-one, self-install solution that enables manufacturers to improve resource efficiency and machine uptime.",SET,Seed
Greencom Networks,https://www.greencom-networks.com/,GreenCom Networks unlocks the power of residential energy assets. The company was acquired by Enphase Energy in 2022.,SET,Seed
Sonnen,https://sonnengroup.com/,sonnen is one of the leading manufacturers of smart residential storage systems and a pioneer of technologies for a hyperlocal energy system.,SET,Seed
Energyworx,https://www.energyworx.com/,Energyworx eliminates the time-consuming tasks of energy data management & smart grid analytics with its preconfigured time-series platform.,SET,Seed
Microshade,https://microshade.com/,"MicroShade solves the challenges of solar shading, providing an optimal indoor climate while maintaining natural daylight and view out.",SET,Seed
Enocean,https://www.enocean.com/en/,EnOcean is the pioneer of energy harvesting and sensor-to-cloud solutions for sustainable Internet of Things (IoT) applications.,SET,Seed
General Fusion,https://generalfusion.com/,"General Fusion is developing magnetized target fusion technology to generate cheap, safe and plentiful energy.",SET,Seed
Depsys,https://www.depsys.com/,Depsys develops innovative end-to-end solutions that support grid operators in the energy system transition.,SET,Seed
Alert Me,https://www.linkedin.com/company/setventures/mycompany/?viewAsMember=true,"AlertMe provides energy and home monitoring hardware and services, enabling users to monitor and control their home energy use.",SET,Seed
Epyon,https://www.linkedin.com/company/setventures/mycompany/?viewAsMember=true,Epyon pioneered EV fast-chargers in Europe. Epyon's system offered the ability to charge multiple vehicles and remote configuration.,SET,Seed
Sefaira,https://www.sefaira.com/,"Sefaira provides software for high-performance building design. With Sefaira, architects get real-time analysis for Performance-Based Design.",SET,Seed
Elmodis,https://elmodis.com/,Elmodis improves efficiency of electrically-powered machines by using AI-powered technology to monitor asset performance and predict issues.,SET,Seed
